Combined Molecule,Form (TLC3),Brand/Generic,Manufacturer,Product Sum,NDC,Product,Prod Form1,Prod Form2,Prod Form3,Strength,2013_Sales $,2014_Sales $,2015_Sales $,2016_Sales $,2017_Sales $,2018_Sales $,2019_Sales $,2013_Units,2014_Units,2015_Units,2016_Units,2017_Units,2018_Units,2019_Units,2013_NSP Ext. Units,2014_NSP Ext. Units,2015_NSP Ext. Units,2016_NSP Ext. Units,2017_NSP Ext. Units,2018_NSP Ext. Units,2019_NSP Ext. Units
IMATINIB,ACA TABS COATED REGULAR ORD,BRAND,NOVARTIS RX,GLEEVEC,00078040134 TAB FC 100MG 90,GLEEVEC 05/2001 NVR,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,"$246,982,171 ","$434,834,742 ","$450,141,064 ","$222,266,218 ","$142,624,903 ","$89,138,434 ","$23,764,500 ","46,815","69,621","60,834","30,128","19,919","13,542","3,663","4,213,350","6,265,890","5,475,060","2,711,520","1,792,710","1,218,780","329,670"
IMATINIB,ACA TABS COATED REGULAR ORD,BRAND,NOVARTIS RX,GLEEVEC,00078043815 TAB DIVIDED 400MG 30,GLEEVEC 05/2001 NVR,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,"$1,133,863,228 ","$2,026,860,072 ","$380,980,332 ","$4,709,838 ","$11,901 ","$11,106 ",,"177,503","267,358","43,034",496,1,1,,"5,325,090","8,020,740","1,291,020","14,880",30,30,
IMATINIB,ACA TABS COATED REGULAR ORD,BRAND,NOVARTIS RX,GLEEVEC,00078064930 TAB FC 400MG 30UD,GLEEVEC 05/2001 NVR,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,"$1,657,456,527 ","$935,176,278 ","$598,290,698 ","$356,965,588 ","$91,274,099 ",,,"184,519","103,225","66,783","41,660","11,172",,,"5,535,570","3,096,750","2,003,490","1,249,800","335,160"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,AMERICAN HLTH PKG,IMATINIB MESY,60687019221 TAB FC 100MG 30UD,IMATINIB MESY 03/2016 AHE,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,"$1,285,236 ","$2,170,676 ","$1,343,045 ","$411,926 ",,,,592,"1,440","1,042",318,,,,"17,760","43,200","31,260","9,540"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,AMERICAN HLTH PKG,IMATINIB MESY,60687020325 TAB FC 400MG 30UD,IMATINIB MESY 03/2016 AHE,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,"$3,295,257 ","$2,589,563 ","$1,507,003 ","$521,503 ",,,,444,537,379,131,,,,"13,320","16,110","11,370","3,930"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,APOTEX CORP,IMATINIB MESY,60505290009 TAB FC 100MG 90,IMATINIB MESY 08/2016 ATX,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,"$10,820,655 ","$26,217,232 ","$7,583,794 ","$1,644,136 ",,,,"3,002","12,630","15,260","4,582",,,,"270,180","1,136,700","1,373,400","412,380"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,APOTEX CORP,IMATINIB MESY,60505290103 TAB FC 400MG 30,IMATINIB MESY 08/2016 ATX,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,"$47,485,660 ","$122,733,930 ","$35,158,697 ","$8,050,529 ",,,,"11,381","50,797","61,104","19,223",,,,"341,430","1,523,910","1,833,120","576,690"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,ASCEND LABS,IMATINIB MESY,67877063390 TAB FC 100MG 90,IMATINIB MESY 03/2019 A7L,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,,,,"$1,005 ",,,,,,,3,,,,,,,270
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,ASCEND LABS,IMATINIB MESY,67877063430 TAB FC 400MG 30,IMATINIB MESY 03/2019 A7L,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",400MG,,,,,,,"$12,610 ",,,,,,,45,,,,,,,"1,350"
IMATINIB,ACA TABS COATED REGULAR ORD,GENERIC,AV KARE INC,IMATINIB MESY,42291035190 TAB FC 100MG 90,IMATINIB MESY 09/2016 AVK,O ORALS,"OS ORALS,SOLID","OSR ORALS,SOL,TAB/CAP RE",100MG,,,,"$265,122 ","$767,940 ","$27,133 ",,,,,76,228,9,,,,,"6,840","20,520",810,
