"ProductNameLong","Description","CompanyName","PackageIdentifier","TypeName","SpecificProductID","SpecificDrugProductID","GenericDrugProductID","EquivalenceCodes","BrandGenericStatus","LicenseTypeName","LegendStatus","MarketStatus","OffMarketDate","Repackaged","PrivateLabel","DEAClassification","ReplacedByPackageID","MarketClasses","PackageSize","Ingredients","OnMarketDate","WACBeginDate","WACPrice","WACPriceChange","WACUnitPrice"
"Morphine Sulfate 15mg Extended-Release Tablet","box, 10 unit dose blister packs, 10 each Morphine SO4 15mg, Oral tablet, extended release","American Health Packaging","68084-0157-01","NDC",800,733,432,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral)",100.0000,"(1987) Morphine Sulfate","2013-11-05 00:00:00","2018-08-13","64.71","(-) 23.91","0.64710"
"Morphine Sulfate 15mg Extended-Release Tablet","unit dose blister pack, 10 each Morphine SO4 15mg, Oral tablet, extended release","American Health Packaging","68084-0157-11","NDC",800,733,432,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral)",10.0000,"(1987) Morphine Sulfate","2013-11-05 00:00:00","2018-08-13","6.47","(-) 23.91","0.64710"
"Testosterone 1.62% Metered Dose Pump Transdermal Gel","bottle, pump, 75 grams Testosterone 1.62%, Topical gel","Amneal Pharmaceuticals LLC","69238-1013-02","NDC",18270,15127,3139,"AB","Generic","aNDA","Rx","On",,"No","No","schedule III",,"Androgens (Transdermal)",75.0000,"(2575) Testosterone","2019-06-24 00:00:00","2019-06-24","88.50",,"1.18000"
"Telmisartan 40mg Tablet","unit dose blister card, 1 each Telmisartan 40mg, Oral tablet","Zydus Pharmaceuticals (USA) Inc.","68382-0472-30","NDC",3657,2944,1970,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Angiotensin-II Receptor Blockers/ARBs (Oral)",1.0000,"(2560) Telmisartan","2014-09-03 00:00:00","2019-06-18","1.50","(-) 58.88","1.50000"
"Bydureon 2mg Pen Extended-Release Powder for Suspension for Injection","box, 4 Dual-chamber syringe, 1 each Exenatide 2mg, Powder for suspension for injection, Extended Release and 1 each Needle (unspecified size)","AstraZeneca Pharmaceuticals LP","00310-6530-04","NDC",22136,16143,10131,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Incretin mimetics Antidiabetics (Subcutaneous)",4.0000,"(3348) Exenatide","2014-09-01 00:00:00","2019-01-01","699.77","(+) 6.00","174.94250"
"Vaqta (Adult) 50unit/ml Suspension for Injection","box, 10 pre-filled syringes, 1 ml Hep A Vacc (Inact) 50U/1mL, Suspension for injection","Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.","00006-4096-02","NDC",22181,18788,11972,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Hepatitis Vaccines (Intramuscular)",10.0000,"(5341) Hepatitis A Virus Strain CR 326F antigen (Formaldehyde inactivated)","2014-07-15 00:00:00","2018-11-15","682.30","(+) 1.97","68.23000"
"Vaqta Pediatric/Adolescent 25unit/0.5ml Suspension for Injection","box, 10 pre-filled syringes, 0.5 ml Hep A Vacc (Inact) 25U/0.5mL, Suspension for injection","Merck Sharp & Dohme Corp., a Subsidiary of Merck & Co., Inc.","00006-4095-02","NDC",22183,18789,11972,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Hepatitis Vaccines (Intramuscular)",5.0000,"(5341) Hepatitis A Virus Strain CR 326F antigen (Formaldehyde inactivated)","2014-07-15 00:00:00","2018-11-15","326.57","(+) 1.95","65.31400"
"Humira 40mg/0.8mL Crohns Disease Pediatric Starter Package Prefilled Syringe Kit","box, 6 pre-filled syringe, 0.8 ml Adalimumab 40mg/0.8mL, Solution for injection and 6 each 27 gauge, 0.5 inch needle, 6 each Alcohol Pad or Swab","AbbVie US LLC","00074-3799-06","NDC",13218,6286,4516,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Anti-Rheumtic Monoclonal Antibody Preparations (Subcutaneous); Antipsoriatic Monoclonal Antibodies and Others (Subcutaneous); Tumor Necrosis Factor (TNF)-Alpha Inhibitors (Subcutaneous)",6.0000,"(31) Adalimumab","2014-10-01 00:00:00","2019-01-01","15522.32","(+) 6.20","2587.05333"
"Humira 40mg/0.8mL Crohns Disease Pediatric Starter Package Prefilled Syringe Kit","box, 3 pre-filled syringe, 0.8 ml Adalimumab 40mg/0.8mL, Solution for injection and 3 each 27 gauge, 0.5 inch needle, 4 each Alcohol Pad or Swab","AbbVie US LLC","00074-3799-03","NDC",13218,6286,4516,"NR","Brand","BLA","Rx","On",,"No","No","NA",,"Anti-Rheumtic Monoclonal Antibody Preparations (Subcutaneous); Antipsoriatic Monoclonal Antibodies and Others (Subcutaneous); Tumor Necrosis Factor (TNF)-Alpha Inhibitors (Subcutaneous)",3.0000,"(31) Adalimumab","2014-10-01 00:00:00","2019-01-01","7761.16","(+) 6.20","2587.05333"
"Vazculep 10mg/ml Solution for Injection","box, 25 vials, 1 ml Phenylephrine HCl 10mg/1mL, Solution for injection","Avadel Legacy Pharmaceuticals, Inc.","76014-0004-25","NDC",12921,10481,2281,"AP","Brand","NDA","Rx","On",,"No","No","NA",,"Cardiac Stimulants Excluding Dopaminergic Agents (Intravenous)",25.0000,"(2195) Phenylephrine Hydrochloride","2014-10-01 00:00:00","2018-08-03","91.75","(-) 20.04","3.67000"
