ProductNameLong,Description,CompanyName,PackageIdentifier,TypeName,SpecificProductID,SpecificDrugProductID,GenericDrugProductID,EquivalenceCodes,BrandGenericStatus,LicenseTypeName,LegendStatus,MarketStatus,OffMarketDate,Repackaged,PrivateLabel,DEAClassification,ReplacedByPackageID,MarketClasses,PackageSize,Ingredients,OnMarketDate,WACBeginDate,WACPrice,WACPriceChange,WACUnitPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 40mg/ml Powder for Suspension,"bottle, 75 ml Voriconazole 40mg/1mL, Powder for oral suspension",Pfizer Inc.,00049-3160-44,NDC,12972,10532,6902,AB,Brand,NDA,Rx,On,,No,No,NA,,Azole Antifungals (Oral),75,(2112) Voriconazole,1/5/2004 0:00,1/1/2018,2118.21,(+) 9.43,28.2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 200mg Powder for Injection,"vial, 1 each Voriconazole 200mg, Lyophilisate for solution for injection",Pfizer Inc.,00049-3190-28,NDC,10945,8591,5899,AP,Brand,NDA,Rx,On,,No,No,NA,,Azole Antifungals (Intravenous),1,(2112) Voriconazole,1/27/2005 0:00,1/1/2014,149.19,(+) 9.99,149.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 200mg Tablet,"bottle, 30 each Voriconazole 200mg, Oral tablet",Pfizer Inc.,00049-3180-30,NDC,12971,10531,6901,AB,Brand,NDA,Rx,On,,No,No,NA,,Azole Antifungals (Oral),30,(2112) Voriconazole,1/27/2005 0:00,1/1/2018,3701.02,(+) 9.43,123.36733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 50mg Tablet,"bottle, 30 each Voriconazole 50mg, Oral tablet",Pfizer Inc.,00049-3170-30,NDC,12973,10533,6901,AB,Brand,NDA,Rx,On,,No,No,NA,,Azole Antifungals (Oral),30,(2112) Voriconazole,1/27/2005 0:00,1/1/2018,925.23,(+) 9.44,30.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 200mg Powder for Injection (NOVAPLUS),"vial, 1 each Voriconazole 200mg, Lyophilisate for solution for injection",Pfizer Inc.,00049-3190-01,NDC,10945,8591,5899,AP,Brand,NDA,Rx,On,,No,Yes,NA,,Azole Antifungals (Intravenous),1,(2112) Voriconazole,2/1/2012 0:00,4/15/2019,60,(-) 59.78,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 200mg Powder for Injection (Amerinet),"vial, 1 each Voriconazole 200mg, Lyophilisate for solution for injection",Pfizer Inc.,00049-3190-38,NDC,10945,8591,5899,AP,Brand,NDA,Rx,On,,No,Yes,NA,,Azole Antifungals (Intravenous),1,(2112) Voriconazole,9/12/2012 0:00,4/15/2019,60,(-) 59.78,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vfend 200mg Powder for Injection (PREMIER ProRx),"vial, 1 each Voriconazole 200mg, Lyophilisate for solution for injection",Pfizer Inc.,00049-4190-01,NDC,10945,8591,5899,AP,Brand,NDA,Rx,On,,No,Yes,NA,,Azole Antifungals (Intravenous),1,(2112) Voriconazole,4/4/2013 0:00,4/15/2019,60,(-) 59.78,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphine Sulfate 15mg Extended-Release Tablet,"box, 10 unit dose blister packs, 10 each Morphine SO4 15mg, Oral tablet, extended release",American Health Packaging,68084-0157-01,NDC,800,733,432,AB,Generic,aNDA,Rx,On,,No,No,schedule II,,Opioid Agonists (Oral),100,(1987) Morphine Sulfate,11/5/2013 0:00,8/13/2018,64.71,(-) 23.91,0.6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphine Sulfate 15mg Extended-Release Tablet,"unit dose blister pack, 10 each Morphine SO4 15mg, Oral tablet, extended release",American Health Packaging,68084-0157-11,NDC,800,733,432,AB,Generic,aNDA,Rx,On,,No,No,schedule II,,Opioid Agonists (Oral),10,(1987) Morphine Sulfate,11/5/2013 0:00,8/13/2018,6.47,(-) 23.91,0.6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testosterone 1.62% Metered Dose Pump Transdermal Gel,"bottle, pump, 75 grams Testosterone 1.62%, Topical gel",Amneal Pharmaceuticals LLC,69238-1013-02,NDC,18270,15127,3139,AB,Generic,aNDA,Rx,On,,No,No,schedule III,,Androgens (Transdermal),75,(2575) Testosterone,6/24/2019 0:00,6/24/2019,88.5,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
